product_name,price,rating,rating_count,Key specifications  Robot type,Key specifications  Robot vacuum cleaner height i,Key specifications  Suction station height i,Key specifications  Battery life,Key specifications  Max. noise level,Key specifications  Robot vacuum cleaner features,Key specifications  Smart home ecosystem,Key specifications  Item number,General information  Manufacturer,General information  Category,General information  Manufacturer no.,General information  Release date,General information  Sales rank in Category Robot vacuum cleaners,General information  May include power adapter,Colour  Colour,Colour  Exact colour description,Robot vacuum cleaner properties  Robot type,Robot vacuum cleaner properties  Cleaning functions,Robot vacuum cleaner properties  Robot vacuum cleaner features,Robot vacuum cleaner properties  Max. Suction power i,Robot vacuum cleaner properties  Filter + Dust bag volume,Robot vacuum cleaner properties  Water tank capacity,Robot vacuum cleaner properties  Max. noise level,Robot vacuum cleaner properties  Suitable surfaces,Robot vacuum cleaner properties  Max. Height door sill,Robot vacuum cleaner properties  Filter type,Robot vacuum cleaner properties  Room area i,Smart home features  Smart Home,Smart home features  Smart home ecosystem,Smart home features  Communication standard,Origin  Country of origin i,Model  Model name,Model  Model number,Battery properties  Battery life,Battery properties  Charging time,Battery properties  Battery type,Battery properties  Capacity,Battery properties  Power capacity,Battery properties  Voltage,Power supplyi  Power consumption,Scope of delivery  Scope of delivery,Product dimensions  Robot vacuum cleaner height i,Product dimensions  Suction station height i,Product dimensions  Diameter,Product dimensions  Length,Product dimensions  Width,Product dimensions  Weight,Package dimensions  Length,Package dimensions  Width,Package dimensions  Height,Package dimensions  Weight,Key specifications  Documents,General information  External links,Ingredients and instructions for use  Ingredients,Sustainability  Manufacturer commitment i,Ingredients and instructions for use  Instructions for use,Key specifications  Device type,Key specifications  Power,Key specifications  Length,Key specifications  Width,Key specifications  Height,Key specifications  Colour,General information  Sales rank in Category Fun kitchen gadgets,Fun Kitchen features  Device type,Power supplyi  Power,Product dimensions  Height
Shark RV2800ZEEU,462,4.0,2,Robot vacuum,44.60 cm,,110 min,65 dB,"Carpet detection, Programmable cleaning schedules, Staircase safe","Amazon Alexa, Google Assistant",49230430,Shark,Robot vacuum cleaners,RV2800ZEEU,10.9.2024,,Yes,Black,Black,Robot vacuum,"Damp mopping, Vacuuming","Carpet detection, Programmable cleaning schedules, Staircase safe",,0.30 l,2.10 l,65 dB,"Carpet, Hard floor, Laminate, Pad, Parquet flooring, Tiles, Tiles",,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",,,,RV2800ZEEU,110 min,240 min,Li-ion,,1110 Wh,,650 W,"1x anti-odour technology cartridge, 1x filter, 1x NeverTouch base station, 1x vacuum and mopping robot, 2x side brush, 3x washable mop pads",44.60 cm,,47.50 cm,42 cm,47.75 cm,3.89 kg,53.50 cm,43.50 cm,43.50 cm,16.08 kg,,,,,,,,,,,,,,,
Ecovacs Robot vacuum cleaner,659,5.0,2,Vacuum mopping robot,39.40 cm,39.40 cm,260 min,67.90 dB,Base station,"Amazon Alexa, Google Assistant",46919410,Ecovacs,Robot vacuum cleaners,DDX19,27.6.2024,102 of 471,Yes,Black,Black,Vacuum mopping robot,Vacuuming,Base station,12800 Pa,0.25 l,0.09 l,67.90 dB,"Carpet, Hard floor",20 mm,,35 m²,Compatible,"Amazon Alexa, Google Assistant",,,,Deebot X5 OMNI,260 min,270 min,Li-ion,6400 mAh,45 Wh,14.40 V,45 W,"1 charging cable, 1 cleaning utensil, 1 DEEBOT X5 OMNI, 1 dust bag (pre-installed), 1 filter (pre-installed), 1 main brush, 1 OMNI station, 1 side brush, 1 User manual, 2 wiper attachments, 2 wipes",39.40 cm,39.40 cm,,52.80 cm,44.30 cm,15.20 kg,62 cm,47.50 cm,46.50 cm,15 kg,,,,,,,,,,,,,,,
Ecovacs Deebot 601,28560,3.0,1,Vacuum mopping robot,7.90 cm,,110 min,64 dB,"Obstacle detector, Staircase safe",Amazon Alexa,9309981,Ecovacs,Robot vacuum cleaners,D601,31.8.2018,,,Black,,Vacuum mopping robot,"Damp mopping, Vacuuming","Obstacle detector, Staircase safe",,0.30 l,,64 dB,"Carpet, Hard floor",,,,Compatible,Amazon Alexa,Amazon Alexa,,,,110 min,240 min,Li,2600 mAh,,,,"Additional brush, Charging station, Remote control incl. batteries",7.90 cm,,33.20 cm,33.20 cm,33.20 cm,3.30 kg,50 cm,40 cm,13 cm,4.90 kg,,,,,,,,,,,,,,,
Eureka J15,689,,34,Vacuum mopping robot,1 cm,,,62 dB,,,53006576,Eureka,Robot vacuum cleaners,,18.11.2024,207 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",,,,,62 dB,,,,,Not compatible,,,Netherlands,,,,30 min,,,,,,,1 cm,,,,,,55 cm,48 cm,53 cm,1.49 kg,,,,,,,,,,,,,,,
InnovaGoods Multifunctional rechargeable robot hoover,3870,1.0,5,Vacuum mopping robot,7 cm,,90 min,55 dB,,"Amazon Alexa, Google Assistant",45306637,InnovaGoods,Robot vacuum cleaners,V0103851,29.4.2024,78 of 471,,Grey,Grey,Vacuum mopping robot,"Damp mopping, Vacuuming",,,0.22 l,0.22 l,55 dB,Vinyl,,,,Compatible,"Amazon Alexa, Google Assistant",,France,,6246,90 min,240 min,Li-ion,1200 mAh,,,,"2 microfibre mops, Dosing bottle for water, Mini cleaning brush, Robot hoover, USB charging cable",7 cm,,25 cm,25 cm,25 cm,,,,,,,,,,,,,,,,,,,,
Dyson 360 Vis Nav,1299,3.4,23,Robot vacuum,9.70 cm,9.70 cm,50 min,76 dB,"Camera function, Infrared sensor, Programmable cleaning schedules","Amazon Alexa, Google Assistant",37373337,Dyson,Robot vacuum cleaners,304623-01,4.8.2023,172 of 471,No,Blue,"Moulded Blue, Nickel",Robot vacuum,Vacuuming,"Camera function, Infrared sensor, Programmable cleaning schedules",,0.57 l,,76 dB,Universal,,"Air filter, HEPA filter",,Compatible,"Amazon Alexa, Google Assistant","Amazon Alexa, Google Assistant",,,965432-01,50 min,150 min,,,375 Wh,,375 W,"Charging cable, Charging station, Dyson 360 Vis Nav",9.70 cm,9.70 cm,32 cm,330 cm,345 cm,5 kg,54 cm,42 cm,16 cm,7.50 kg,,,,,,,,,,,,,,,
Philips 7000 series XU7100/01,58390,3.7,7,Vacuum mopping robot,9.70 cm,97 cm,180 min,66 dB,Infrared sensor,Amazon Alexa,35527680,Philips,Robot vacuum cleaners,XU7100/01,1.9.2023,169 of 471,Yes,"Black, Gold","Gold, Jet Black",Vacuum mopping robot,"Damp mopping, Vacuuming",Infrared sensor,5000 Pa,24 l,24 l,66 dB,"Carpet, Hard floor, Linoleum",20 mm,EPA filter,,Compatible,Amazon Alexa,,,,,180 min,300 min,Li-ion,5200 mAh,,144 V,,"Cleaning station, Filter, Mop textile, Tool for cleaning brushes and filters, virtual wall",9.70 cm,97 cm,35 cm,35 cm,35 cm,4 kg,51.20 cm,46.60 cm,39.50 cm,14.74 kg,,,,SBTi,,,,,,,,,,,
Domo DO7296S,243,2.0,2,Vacuum mopping robot,7.50 cm,7.50 cm,129 min,60 dB,Base station,Amazon Alexa,30328036,Domo,Robot vacuum cleaners,DO7296S,22.1.2024,164 of 471,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,,0.60 l,,60 dB,"Carpet, Linoleum, Tiles, Wood",,HEPA filter,,Compatible,Amazon Alexa,,,,,129 min,360 min,Li-ion,2600 mAh,,14.40 V,,"Dusting and mopping robot, Manual, Remote control",7.50 cm,7.50 cm,33 cm,33 cm,33 cm,4 kg,60 cm,40 cm,13.50 cm,5.64 kg,,,,,,,,,,,,,,,
Makita Drc200z,106063,4.7,9,Robot vacuum,18 cm,,200 min,64 dB,Laser navigation,,8460806,Makita,Robot vacuum cleaners,DRC200Z,21.4.2018,132 of 471,No,Blue,Turquoise,Robot vacuum,Vacuuming,Laser navigation,,2.50 l,2.50 l,64 dB,Universal,,,500 m²,,,,,,,200 min,230 min,Li-ion,5000 mAh,,18 V,,"Remote control, Special adhesive tape",18 cm,,18 cm,46 cm,46 cm,7.30 kg,54 cm,54 cm,28.30 cm,10.67 kg,,,,,,,,,,,,,,,
eufy Clean X8 Pro SES EU Version,453,,9,Robot vacuum,9.90 cm,35.30 cm,180 min,58 dB,Obstacle detector,"Amazon Alexa, Google Assistant",37957780,eufy,Robot vacuum cleaners,T2276G11,8.9.2023,122 of 471,Yes,Black,Black,Robot vacuum,Damp mopping,Obstacle detector,4000 Pa,0.30 l,0.27 l,58 dB,,20 mm,,,Compatible,"Amazon Alexa, Google Assistant",Google Assistant,,,Clean X8 Pro SES EU Version,180 min,330 min,,5200 mAh,,,,,9.90 cm,35.30 cm,35.30 cm,35.40 cm,35.30 cm,9.24 kg,43.60 cm,38.90 cm,30.10 cm,9.21 kg,,,,,,,,,,,,,,,
Profi-Care ProfiCare PC BSR 3042,128,,9,Robot vacuum,7.50 cm,,90 min,61 dB,Infrared sensor,,15573405,Profi-Care,Robot vacuum cleaners,330420,30.3.2021,142 of 471,No,White,White,Robot vacuum,Vacuuming,Infrared sensor,,0.40 l,,61 dB,"Carpet, Hard floor, Parquet flooring",,HEPA filter,,Compatible,,,,,330420,90 min,300 min,Nickel metal hydride,1500 mAh,,14.40 V,,"Manual, Remote control, Robot vacuum cleaner (incl. battery), Wall wart",7.50 cm,,29.30 cm,7.50 cm,29 cm,1.90 kg,34.50 cm,34.50 cm,14.50 cm,2.78 kg,,,,,,,,,,,,,,,
iRobot Roomba s9+,720,4.3,277,Robot vacuum,9.20 cm,48.50 cm,120 min,65 dB,"Base station, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Google Assistant",12751491,iRobot,Robot vacuum cleaners,S95504,18.2.2020,,No,Black,"Black, Copper",Robot vacuum,Vacuuming,"Base station, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.55 l,0.55 l,65 dB,"Carpet, Hard floor, Laminate, Linoleum, Parquet flooring, Tiles, Wood",16 mm,High-performance filters,220 m²,Compatible,"Amazon Alexa, Google Assistant","Amazon Alexa, Apple Siri, Google Assistant",,Roomba s9+,9558,120 min,120 min,Li-ion,3300 mAh,48 Wh,,,"Charging station and cleaning station, Filter, Hoover bag x 2, Robots, Side brush",9.20 cm,48.50 cm,36 cm,31 cm,31.50 cm,3.40 kg,49.20 cm,41.80 cm,40 cm,11.91 kg,,,,,,,,,,,,,,,
Dreame L10s Plus,51952,4.9,15,Vacuum mopping robot,9.68 cm,44 cm,155 min,60 dB,"Carpet detection, Obstacle detector","Amazon Alexa, Google Assistant",43915260,Dreame,Robot vacuum cleaners,RLL42SD,16.3.2024,183 of 471,Yes,White,White,Vacuum mopping robot,Damp mopping,"Carpet detection, Obstacle detector",7000 Pa,4 l,0.30 l,60 dB,"Carpet, Hard floor",,,145 m²,Compatible,"Amazon Alexa, Google Assistant",,Germany,,VCR,155 min,,,5200 mAh,,,,"Base station with automatic emptying, Dust collection bag, Robot vacuum, Side brush, User manual, Wiper pad, Wiper pad holder",9.68 cm,44 cm,35 cm,35 cm,35 cm,3.74 kg,41.50 cm,37 cm,46.50 cm,11.81 kg,,,,,,,,,,,,,,,
Neatron Robot hoover,9890,1.0,1,Vacuum mopping robot,7 cm,,90 min,49 dB,,,37930464,Neatron,Robot vacuum cleaners,,7.9.2023,,,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",,1800 Pa,0.60 l,0.20 l,49 dB,,,,,,,,China,,S4-4,90 min,180 min,Lithium,1200 mAh,,3.70 V,,"1x cleaning brush, 1x dosing bottle, 1x operating instructions, 1x Purize Neatron hoover, 1x rubber band (protection for furniture), 1x USB charging cable, 2x rotating brushes, 3x mops",7 cm,,,26 cm,26 cm,0.68 kg,28.60 cm,25.90 cm,16.30 cm,1.02 kg,,,,,,,,,,,,,,,
Xiaomi Roidmi Eve Rook,274,,1,Robot vacuum,9.80 cm,,160 min,65 dB,"Configurable cleaning programmes, Extendable side brushes, Infrared sensor",Amazon Alexa,49582777,Xiaomi,Robot vacuum cleaners,10030460067,19.9.2024,201 of 471,Yes,White,White (07),Robot vacuum,"Damp mopping, Vacuuming","Configurable cleaning programmes, Extendable side brushes, Infrared sensor",5000 Pa,3 l,0.30 l,65 dB,"Carpet, Hard floor",18 mm,,,Compatible,Amazon Alexa,Google Assistant,,,,160 min,,Li-ion,3200 mAh,,,,,9.80 cm,,,,,,43 cm,38 cm,37.50 cm,7.55 kg,,,,,,,,,,,,,,,
iRobot Roomba j7,45930,4.1,116,Robot vacuum,8.70 cm,,90 min,60 dB,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe","Amazon Alexa, Google Assistant",16628581,iRobot,Robot vacuum cleaners,j715840,15.10.2021,,No,Black,"Black, Gray",Robot vacuum,Vacuuming,"Obstacle detector, Programmable cleaning schedules, Programmable room boundary, Staircase safe",,0.40 l,0 l,60 dB,"Carpet, Laminate, Parquet flooring, Tiles",16 mm,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant","Amazon Alexa, Google Assistant",,Roomba j7,,90 min,120 min,Li-ion,2210 mAh,,14.40 V,,"1x Home Base charging station, 1x Roomba j7158 Robot Vacuum Cleaner, Dock, Filter, Power cord, Robots, Side brush (replacement)",8.70 cm,,33.30 cm,33.30 cm,33.30 cm,3.40 kg,48 cm,44 cm,15 cm,5.60 kg,,,"Https://prod-help-content.care.irobotapi.com/files/j_series/og/EMEA.pdf
https://prod-help-content.care.irobotapi.com/files/j_series/og/cb/EMEA.pdf.",,,,,,,,,,,,
"Domo DO7298S Robot Vacuum and Mop Black App controlled, remote controlled, with wis",409,,116,Vacuum mopping robot,10.70 cm,,110 min,,,,46542589,Domo,Robot vacuum cleaners,DO7298S,17.6.2024,190 of 471,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",,,0.60 l,0.35 l,,"Carpet, Linoleum, Tiles, Wood",,,,Compatible,,,,,DO7298S,110 min,360 min,Li-ion,,,14.40 V,,"DOMO vacuum and mopping robot, Manual, Remote control",10.70 cm,,33 cm,33 cm,33 cm,9 kg,46.20 cm,40.50 cm,40.30 cm,10.09 kg,,,,,,,,,,,,,,,
iRobot Roomba i7150,42746,3.9,14,Robot vacuum,9.30 cm,14.80 cm,90 min,68 dB,,"Amazon Alexa, Google Assistant",12008255,iRobot,Robot vacuum cleaners,i715040,1.5.2019,,,"Black, Grey",Silver grey,Robot vacuum,Vacuuming,,,0.40 l,,68 dB,"Carpet, Laminate, Parquet flooring, Stone, Tiles",20 mm,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",Google Assistant,China,,Roomba i7150,90 min,90 min,Li-ion,1800 mAh,,,,"Docking station, Filter, Power cord, Robots, Side brush",9.30 cm,14.80 cm,0.34 cm,51 cm,41 cm,3.38 kg,53.20 cm,44.20 cm,15 cm,6.22 kg,,,,,,,,,,,,,,,
Tesvor M2 Saugroboter,169,,14,Robot vacuum,7.70 cm,,150 min,70 dB,Obstacle detector,"Amazon Alexa, Google Assistant",46579979,Tesvor,Robot vacuum cleaners,M2,17.6.2024,191 of 471,No,White,White,Robot vacuum,"Damp mopping, Vacuuming",Obstacle detector,6000 Pa,,,70 dB,"Carpet, Tiles, Wood",,,,Compatible,"Amazon Alexa, Google Assistant",,China,,,150 min,,,5200 mAh,,,,,7.70 cm,,,,,,59.50 cm,40 cm,13 cm,5.75 kg,,,,,,,,,,,,,,,
Teesa Vacuum cleaner SMART VAC cleaning robot 2,8990,3.2,6,Robot vacuum,7.70 cm,,90 min,52 dB,Programmable room boundary,,21582306,Teesa,Robot vacuum cleaners,TSA5050,29.7.2022,110 of 471,No,Black,Black,Robot vacuum,Vacuuming,Programmable room boundary,1000 Pa,0.20 l,,52 dB,"Carpet, Hard floor",,HEPA filter,,Compatible,,,,,Smart VAC 2,90 min,360 min,Lithium,2000 mAh,15 Wh,9.60 V,15 W,Remote control,7.70 cm,,28 cm,28 cm,28 cm,1.60 kg,,,,,,,,,,,,,,,,,,,
Nordväl HC104 Triple Spin,429,,29,Mopping robot,9.90 cm,,120 min,43 dB,Obstacle detector,,34849948,Nordväl,Robot vacuum cleaners,HC104,17.5.2023,167 of 471,No,Grey,,Mopping robot,Damp mopping,Obstacle detector,,,,43 dB,"Laminate, Parquet flooring, Stone, Tiles, Wood",,,,Compatible,,,,,,120 min,170 min,,,,,,,9.90 cm,,,30.60 cm,32.50 cm,3.99 kg,,,,,,,,,,,,,,,,,,,
EZVIZ RS20 Pro,856,,29,Vacuum mopping robot,10.10 cm,52.90 cm,220 min,65 dB,"Obstacle detector, Staircase safe","Amazon Alexa, Google Assistant",46314001,EZVIZ,Robot vacuum cleaners,CS-RS20-PRO-PGA2,14.3.2025,188 of 471,,White,White,Vacuum mopping robot,Damp mopping,"Obstacle detector, Staircase safe",7200 Pa,0.35 l,0.10 l,65 dB,"Carpet, Hard floor, Tiles, Wood",,,300 m²,Compatible,"Amazon Alexa, Google Assistant",,,,RS20 Pro,220 min,180 min,Li-ion,5200 mAh,65 Wh,14.40 V,65 W,"Camera sticker, Cleaning brush, Docking station, Power cord, RS20 Pro robot hoover & mop, Side brush",10.10 cm,52.90 cm,36.50 cm,47.40 cm,45.20 cm,,,,,,,,,,,,,,,,,,,,
TP-Link Tapo RV20 Mop Robot Vacuum Cleaner,227,,29,Vacuum mopping robot,7.80 cm,,180 min,51 dB,"Automatic dust emptying, Base station, Independent emptying","Amazon Alexa, Google Assistant",42285222,TP-Link,Robot vacuum cleaners,Tapo RV20 Mop,17.1.2024,178 of 471,No,"Black, White","Black, White",Vacuum mopping robot,"Damp mopping, Vacuuming","Automatic dust emptying, Base station, Independent emptying",2700 Pa,0.40 l,0.30 l,51 dB,,,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",,,,,180 min,,,2600 mAh,,,45 W,"Cleaning cloth, Mop",7.80 cm,,,34.18 cm,34.22 cm,3.25 kg,36 cm,17 cm,45 cm,4.78 kg,,,,,,,,,,,,,,,
Ecovacs Deebot X5 Omni,639,4.3,3,Vacuum mopping robot,9.50 cm,52.80 cm,217 min,67.90 dB,"Configurable cleaning programmes, Extendable side brushes, Infrared sensor",Amazon Alexa,47502968,Ecovacs,Robot vacuum cleaners,DX5,2.8.2024,103 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Configurable cleaning programmes, Extendable side brushes, Infrared sensor",12800 Pa,0.25 l,4 l,67.90 dB,Carpet,,Without filter,400 m²,Compatible,Amazon Alexa,,China,,,217 min,264 min,Li,6400 mAh,45 Wh,14.40 V,45 W,,9.50 cm,52.80 cm,,44.30 cm,31.30 cm,4.20 kg,77 cm,39 cm,50 cm,19 kg,,,,,,,,,,,,,,,
Airrobo Robot Vacuum Cleaner P20,102,5.0,1,Robot vacuum,7.80 cm,,164 min,69 dB,,,47485473,Airrobo,Robot vacuum cleaners,AIRROBO P20,31.7.2024,198 of 471,No,Black,Black,Robot vacuum,Vacuuming,,2800 Pa,0.60 l,,69 dB,"Carpet, Ceramic, Wood",20 mm,HEPA filter,,Compatible,,,,,P20,164 min,360 min,Li-ion,2600 mAh,2800 Wh,14.40 V,35 W,"Brush, Charging cable, Dust collector, HEPA Filters, Main brush, Power supply, Remote control, Robot sprzątający AIRROBO P20, Side brush x2, User manual",7.80 cm,,32 cm,,,2.84 kg,44 cm,33 cm,12 cm,3.84 kg,,,,,,,,,,,,,,,
Livoo Saugroboter,5490,,1,Robot vacuum,8 cm,,70 min,67 dB,,,47281221,Livoo,Robot vacuum cleaners,DOH135N,17.7.2024,,No,Black,Black,Robot vacuum,Vacuuming,,800 Pa,0.50 l,0.50 l,67 dB,"Carpet, Hard floor, Laminate, Linoleum, Parquet flooring, Tiles, Vinyl, Wood",10 mm,,,,,,,,DOH135N,70 min,240 min,Lithium,1800 mAh,74900 Wh,,,"4 side brushes, Battery charger, Dust collector, Sponge cloth",8 cm,,,30 cm,30 cm,1.50 kg,,,,,,,,,,,,,,,,,,,
Xiaomi E10C,14105,,1,Robot vacuum,8 cm,8 cm,110 min,,"Base station, Obstacle detector","Amazon Alexa, Google Assistant",42285118,Xiaomi,Robot vacuum cleaners,BHR7725EU,17.1.2024,177 of 471,No,Black,Black,Robot vacuum,Vacuuming,"Base station, Obstacle detector",4000 Pa,0.40 l,0.20 l,,,,,,Compatible,"Amazon Alexa, Google Assistant",,,,E10C,110 min,,,2600 mAh,,14.40 V,35 W,"Charging station, Cleaning brush x 1, Main brush, Main brush guard, Manual, Mop frame x 1, Mop pad, Power supply, Robots, Side brush, Water and dust container",8 cm,8 cm,32.50 cm,32.50 cm,32.50 cm,2 kg,47.50 cm,39 cm,13.80 cm,4.51 kg,,,,,,,,,,,,,,,
eufy L60 Hybrid SES EU version,319,5.0,3,Vacuum mopping robot,9.70 cm,35.60 cm,120 min,60 dB,Automatic detergent addition,"Amazon Alexa, Google Assistant",44426995,eufy,Robot vacuum cleaners,T2278G11,26.3.2024,184 of 471,Yes,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Automatic detergent addition,5000 Pa,0.35 l,0.28 l,60 dB,,20 mm,,,Compatible,"Amazon Alexa, Google Assistant",,,,L60 Hybrid SES EU version,120 min,,,2600 mAh,,,,,9.70 cm,35.60 cm,,32.60 cm,32.50 cm,5.30 kg,39 cm,35 cm,45 cm,8.95 kg,,,,,,,,,,,,,,,
Maxxmee Robot Vacuum Cleaner,4690,3.1,14,Robot vacuum,8 cm,,60 min,65 dB,,,14495385,Maxxmee,Robot vacuum cleaners,09524,16.12.2020,,No,"Black, White","Black, White",Robot vacuum,Vacuuming,,,0.30 l,,65 dB,"Carpet, Laminate, Parquet flooring, Tiles",,Air filter,,Not compatible,,,,,MAXXMEE Robot Vacuum Cleaner 7.4 V,60 min,300 min,Li-ion,1800 mAh,14 Wh,7.40 V,14 W,"1x battery, 1x charger, 1x cover, 1x dust container with lid, 1x filter, 1x robot hoover, 2x side brush, 3x floor cloth",8 cm,,27.50 cm,34.50 cm,27.50 cm,1.40 kg,35 cm,33.50 cm,11.50 cm,2.22 kg,,,,,,,,,,,,,,,
"Nordval Nordväl HC101 Mop Robot with 2 Mop Pads, 9 Programs Remote Control",299,5.0,1,Robot vacuum,,,,,,,35237328,,Robot vacuum cleaners,HC101,17.5.2023,168 of 471,,,,Robot vacuum,Damp mopping,,,,,,"Laminate, Parquet flooring, Stone, Tiles, Wood",,,,Compatible,,,Switzerland,,,,,,,,,,"9 programmes Remote control, Mopping robot HC101 Mop robot with 2 mop pads",,,,,,,,,,,,,,,,,,,,,,,,,
Mova S10,24481,,1,Vacuum mopping robot,9.70 cm,,280 min,650 dB,"Carpet detection, Obstacle detector","Amazon Alexa, Google Assistant",46399822,Mova,Robot vacuum cleaners,Mova S10,10.6.2024,189 of 471,,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Carpet detection, Obstacle detector",7000 Pa,0.47 l,,650 dB,,,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",,China,,,280 min,240 min,Li-ion,,,,,"Charging station, F10, Instruction manual, Mop pad",9.70 cm,,32.50 cm,,,3.90 kg,45 cm,39 cm,14 cm,6 kg,,,,,,,,,,,,,,,
EZVIZ Rc3 Plus,298,5.0,1,Robot vacuum,7.85 cm,43.10 cm,220 min,74 dB,Automatic power adjustment,Amazon Alexa,36562096,EZVIZ,Robot vacuum cleaners,314100022,20.6.2023,171 of 471,,White,White,Robot vacuum,Vacuuming,Automatic power adjustment,4000 Pa,0.40 l,0.40 l,74 dB,"Carpet, Hard floor, Parquet flooring, Tiles",20 mm,HEPA filter,200 m²,Compatible,Amazon Alexa,Google Assistant,China,,RC3 PLUS,220 min,300 min,Li-ion,2600 mAh,30 Wh,14.40 V,30 W,"Camera sticker, Docking station, MO, Mop assembly",7.85 cm,43.10 cm,34.50 cm,34.70 cm,39.40 cm,3.60 kg,45.40 cm,42.40 cm,37.40 cm,9.68 kg,,,,,,,,,,,,,,,
Liectroux M7SPro,299,5.0,1,Vacuum mopping robot,7.80 cm,,120 min,65 dB,,"Amazon Alexa, Google Assistant",42839776,Liectroux,Robot vacuum cleaners,LT-068-M7SPro,3.1.2020,182 of 471,No,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",,4000 Pa,,,65 dB,"Carpet, Hard floor, Wood",,HEPA filter,,Compatible,"Amazon Alexa, Google Assistant",,China,,,120 min,,Li-ion,4400 mAh,,,,"Charging station, HEPA filter (extra), Main unit, Power supply, Remote control, Side brush (extra), User manual, Water reservoir",7.80 cm,,32 cm,32 cm,32 cm,2 kg,45.60 cm,34.80 cm,11.30 cm,3.60 kg,,,,,,,,,,,,,,,
iRobot Roomba Combo Y05,211,4.0,1,Vacuum mopping robot,8.50 cm,29.40 cm,120 min,,Base station,"Amazon Alexa, Google Home",52333879,iRobot,Robot vacuum cleaners,43371549,22.10.2024,205 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,,0.40 l,0.20 l,,"Carpet, Hard floor, Laminate, Linoleum, Parquet flooring, Tiles, Wood",,,,Compatible,"Amazon Alexa, Google Home",,,Roomba Combo j5,Y051240,120 min,,Li-ion,,,,,AutoEmpty Docking Station,8.50 cm,29.40 cm,33 cm,33.50 cm,33.50 cm,2.80 kg,39.50 cm,38 cm,39 cm,8.15 kg,,,,,,,,,,,,,,,
Roborock VC Qrevo Curv RSD0712CE,1272,,1,Vacuum mopping robot,10.40 cm,,190 min,,Base station,,49001297,Roborock,Robot vacuum cleaners,RSD0712CE,31.8.2024,200 of 471,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming",Base station,18500 Pa,0.33 l,0.08 l,,,,,,,,,,Q Revo,RSD0712CE,190 min,,Li-ion,,,,,incl. multifunctional docking station 3.0,10.40 cm,,,,,,49.20 cm,53.80 cm,49.30 cm,19.80 kg,,,,,,,,,,,,,,,
Roborock Q Revo Edge,1579,4.0,1,Vacuum mopping robot,9.70 cm,45 cm,180 min,63 dB,"Base station, Laser navigation","Amazon Alexa, Google Assistant",54230075,Roborock,Robot vacuum cleaners,QRE02-00,27.1.2025,,Yes,White,White,Vacuum mopping robot,"Damp mopping, Vacuuming","Base station, Laser navigation",18500 Pa,0.35 l,0.08 l,63 dB,,,,,Compatible,"Amazon Alexa, Google Assistant",Amazon Alexa,,Q Revo,QRE02-00,180 min,240 min,Li-ion,,,,,,9.70 cm,45 cm,,,,,56.50 cm,39 cm,43.50 cm,17.80 kg,,,,,,,,,,,,,,,
Powerology Smart Robotic,9990,2.0,2,Vacuum mopping robot,4.50 cm,,120 min,65 dB,,"Amazon Alexa, Google Assistant",38908956,Powerology,Robot vacuum cleaners,,26.9.2023,173 of 471,,Black,Black,Vacuum mopping robot,Damp mopping,,,0.50 l,,65 dB,,,,,Compatible,"Amazon Alexa, Google Assistant",,,,,120 min,,,2600 mAh,20 Wh,,,,4.50 cm,,,30 cm,28 cm,1 kg,,,,,,,,,,,,,,,,,,,
TP-Link Tapo RV30M,171,2.5,2,Vacuum mopping robot,10 cm,,150 min,,Automatic power adjustment,"Amazon Alexa, Google Assistant",52553284,TP-Link,Robot vacuum cleaners,Tapo RV30 Max,1.11.2024,206 of 471,,Black,Black,Vacuum mopping robot,"Damp mopping, Vacuuming",Automatic power adjustment,5300 Pa,0.30 l,0.30 l,,Carpet,,,,Compatible,"Amazon Alexa, Google Assistant",,,,,150 min,,,,45 Wh,,45 W,Barrier-Cross HeightRobot hoover ×1 (including HEPA filter ×1 and side brush ×1) Charging station ×1 Mop attachment ×1 Power cable ×1 Cleaning brush ×1 User manual,10 cm,,33 cm,,33 cm,,45.60 cm,41.70 cm,18.80 cm,5.56 kg,,,,,,,,,,,,,,,
